Period,Year,Month,Oil Type,Volume (m3/d),Volume (bbl/d)
01-01-94,1994,January,Heavy,39324.335483,247462.419820
01-01-94,1994,January,Total,152594.435483,960254.961496
02-01-94,1994,February,Light,94137.682142,592394.972036
02-01-94,1994,February,Medium,24826.650000,156230.558239
02-01-94,1994,February,Heavy,35519.596428,223519.741023
02-01-94,1994,February,Total,154483.928571,972145.271298
03-01-94,1994,March,Light,83287.948387,524119.149023
03-01-94,1994,March,Medium,28244.190322,177736.650781
03-01-94,1994,March,Heavy,39485.767741,248478.289935
03-01-94,1994,March,Total,151017.906451,950334.089739
04-01-94,1994,April,Light,84481.920000,531632.641645
04-01-94,1994,April,Medium,26237.433333,165108.416014
04-01-94,1994,April,Heavy,43448.686666,273416.372031
04-01-94,1994,April,Total,154168.040000,970157.429690
05-01-94,1994,May,Light,74389.158064,468120.334050
05-01-94,1994,May,Medium,30026.703225,188953.749581
05-01-94,1994,May,Heavy,42550.554838,267764.556871
05-01-94,1994,May,Total,146966.416129,924838.640502
06-01-94,1994,June,Light,78659.990000,494996.068691
06-01-94,1994,June,Medium,27786.006666,174853.366554
06-01-94,1994,June,Heavy,47385.980000,298193.195945
06-01-94,1994,June,Total,153831.976666,968042.631191
07-01-94,1994,July,Light,93614.519354,589102.783424
07-01-94,1994,July,Medium,25384.067741,159738.308378
07-01-94,1994,July,Heavy,38882.354838,244681.098823
07-01-94,1994,July,Total,157880.941935,993522.190625
08-01-94,1994,August,Light,92740.706451,583604.003779
08-01-94,1994,August,Medium,30525.474193,192092.443957
08-01-94,1994,August,Heavy,42452.145161,267145.278843
08-01-94,1994,August,Total,165718.325806,1042841.726579
09-01-94,1994,September,Light,94442.516666,594313.252103
09-01-94,1994,September,Medium,27547.346666,173351.513303
09-01-94,1994,September,Heavy,36337.856666,228668.935690
09-01-94,1994,September,Total,158327.720000,996333.701096
10-01-94,1994,October,Light,84148.783870,529536.263624
10-01-94,1994,October,Medium,29040.106451,182745.237165
10-01-94,1994,October,Heavy,40234.903225,253192.492409
10-01-94,1994,October,Total,153423.793548,965473.993198
11-01-94,1994,November,Light,100593.326666,633019.419868
11-01-94,1994,November,Medium,29207.680000,183799.753542
11-01-94,1994,November,Heavy,35923.913333,226064.049487
11-01-94,1994,November,Total,165724.920000,1042883.222896
12-01-94,1994,December,Light,98914.616129,622455.534510
12-01-94,1994,December,Medium,30772.587096,193647.490120
12-01-94,1994,December,Heavy,41703.506451,262434.202499
12-01-94,1994,December,Total,171390.709677,1078537.227129
01-01-95,1995,January,Light,91429.638709,575353.641962
01-01-95,1995,January,Medium,31999.038709,201365.374737
01-01-95,1995,January,Heavy,43679.441935,274868.481940
01-01-95,1995,January,Total,167108.119354,1051587.498639
02-01-95,1995,February,Light,78503.764285,494012.962612
02-01-95,1995,February,Medium,31859.285714,200485.929122
02-01-95,1995,February,Heavy,42195.614285,265530.966727
02-01-95,1995,February,Total,152558.664285,960029.858461
03-01-95,1995,March,Light,72882.925806,458641.829842
03-01-95,1995,March,Medium,31016.829032,195184.469693
03-01-95,1995,March,Heavy,40724.025806,256270.470864
03-01-95,1995,March,Total,144623.780645,910096.770399
04-01-95,1995,April,Light,97606.176666,614221.712080
04-01-95,1995,April,Medium,31573.876666,198689.890799
04-01-95,1995,April,Heavy,46354.666666,291703.288616
04-01-95,1995,April,Total,175534.720000,1104614.891495
05-01-95,1995,May,Light,96800.348387,609150.749950
05-01-95,1995,May,Medium,30074.022580,189251.523515
05-01-95,1995,May,Heavy,47637.109677,299773.519093
05-01-95,1995,May,Total,174511.480645,1098175.792558
06-01-95,1995,June,Light,94748.863333,596241.047869
06-01-95,1995,June,Medium,31695.640000,199456.130043
06-01-95,1995,June,Heavy,55468.006666,349052.234028
06-01-95,1995,June,Total,181912.510000,1144749.411941
07-01-95,1995,July,Light,86997.548387,547463.131351
07-01-95,1995,July,Medium,33579.464516,211310.768337
07-01-95,1995,July,Heavy,51932.367741,326802.963871
07-01-95,1995,July,Total,172509.380645,1085576.863559
08-01-95,1995,August,Light,88820.409677,558934.136781
08-01-95,1995,August,Medium,34244.606451,215496.411421
08-01-95,1995,August,Heavy,48226.712903,303483.807880
08-01-95,1995,August,Total,171291.729032,1077914.356083
09-01-95,1995,September,Light,80776.896666,508317.459627
09-01-95,1995,September,Medium,32850.256666,206721.967617
09-01-95,1995,September,Heavy,44713.293333,281374.360946
09-01-95,1995,September,Total,158340.446666,996413.788189
10-01-95,1995,October,Light,93661.019354,589395.401274
10-01-95,1995,October,Medium,26472.674193,166588.753108
10-01-95,1995,October,Heavy,51200.232258,322195.739967
10-01-95,1995,October,Total,171333.925806,1078179.894349
11-01-95,1995,November,Light,95150.156666,598766.329431
11-01-95,1995,November,Medium,34717.197050,218470.356476
11-01-95,1995,November,Heavy,45476.746666,286178.663599
11-01-95,1995,November,Total,175344.100383,1103415.349506
12-01-95,1995,December,Light,98183.254838,617853.182495
12-01-95,1995,December,Medium,31531.290322,198421.901025
12-01-95,1995,December,Heavy,51023.861290,321085.862688
12-01-95,1995,December,Total,180738.406451,1137360.946208
01-01-96,1996,January,Light,102533.306451,645227.435237
01-01-96,1996,January,Medium,34357.480645,216206.712580
01-01-96,1996,January,Heavy,53473.832258,336503.179642
01-01-96,1996,January,Total,190364.619354,1197937.327459
02-01-96,1996,February,Light,80284.937931,505221.633654
02-01-96,1996,February,Medium,34249.062068,215524.449984
02-01-96,1996,February,Heavy,46897.165517,295117.156305
